[?1034hType                                  Module                      Label             Process   
vector<pair<csc::L1Track,MuonDigiCollection<CSCDetId,CSCCorrelatedLCTDigi> > >    "simCsctfTrackDigis"        ""                "HLT"     
trigger::TriggerEvent                 "hltTriggerSummaryAOD"      ""                "HLT"     
trigger::TriggerEventWithRefs         "hltTriggerSummaryRAW"      ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hlt1AK8PFJetsTrimR0p1PT0p03Mass50"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hlt1CaloJet70"             ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hlt2CaloJet40"             ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hlt2CaloJet60"             ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hlt2PFJet50"               ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hlt2PFJet80"               ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hlt4CaloJet30"             ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hlt4JetHt450"              ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hlt4JetHt550"              ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hlt4PFJet40"               ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltAK8DiPFJet200TrimMod"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltAK8Ht600"               ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltAK8PFHT700"             ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltAK8PFJet200TrimModMass30"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltAK8SingleCaloJet260"    ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltAK8SinglePFJet280TrimMod"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltAK8SinglePFJet360TrimModMass30"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBDiJet110L1FastJetCentral"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBDiJet20L1FastJetCentral"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBDiJet40L1FastJetCentral"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBDiJet70L1FastJetCentral"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBJet300L1FastJetCentral"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBLifetimeL3FilterCSVLoose0p3"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBLifetimeL3FilterCSVsusy"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBSoftMuonDiJet110L1FastJetL25FilterByDR"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBSoftMuonDiJet110L1FastJetMu5L3FilterByDR"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBSoftMuonDiJet20L1FastJetL25FilterByDR"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBSoftMuonDiJet20L1FastJetMu5L3FilterByDR"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBSoftMuonDiJet40L1FastJetL25FilterByDR"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBSoftMuonDiJet40L1FastJetMu5L3FilterByDR"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBSoftMuonDiJet70L1FastJetL25FilterByDR"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBSoftMuonDiJet70L1FastJetMu5L3FilterByDR"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBSoftMuonJet300L1FastJetL25FilterByDR"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltBSoftMuonJet300L1FastJetMu5L3FilterByDR"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltCSV0p5FilterSingleEle10"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltCSV0p5FilterSingleMu10"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltCSV0p7L3"               ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltCSVFilterSingleTop"     ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltCSVL30p6"               ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltCSVPF0p7"               ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltCaloDiJet70"            ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltCentralCaloJet115"      ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltCentralCaloJet125"      ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltCentralHadronCaloJetpt40"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltCentralHadronCaloJetpt40TightID"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiCaloJet20MJJ400AllJetsDEta3Filter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiCaloJet30MJJ500DEta3p0"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiCentralCaloJet50"     ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiCentralPFJet30"       ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiCentralPFJet70"       ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEG14EtUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEG14HE10P5R9Id50b80eHEUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEG14R9Id50b80eR9IdUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEG14R9Id85ORIso50T80LCaloId24b40eANDHE10P5R9Id50b80eMass50CombMassLastFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEG16EtUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEG16HE10R9Id65HEUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEG16R9Id65R9IdUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEG16R9Id85ORCaloId24b40eIso50T80LANDHE10R9Id65Mass60CombMassLastFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEG18EtUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEG18HE10P0R9Id50b80eHEUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEG18HE10P1R9Id50b80eHEUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEG18HE10P5R9Id50b80eHEUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEG18R9Id50b80eR9IdUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEG18R9Id85ORIso50T80LCaloId24b40eANDHE10P0R9Id50b80eMass30CombMassLastFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEG18R9Id85ORIso50T80LCaloId24b40eANDHE10P1R9Id50b80eMass95CombMassLastFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEG18R9Id85ORIso50T80LCaloId24b40eANDHE10P5R9Id50b80eMass70CombMassLastFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEG22EtUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEG22HE10R9Id65HEUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEG22R9Id65R9IdUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEG22R9Id85ORCaloId24b40eIso50T80LANDHE10R9Id65Mass15CombMassLastFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEG28EtUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEG28HE10P1R9Id50b80eHEUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEG28R9Id50b80eR9IdUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEG28RId85ORIso50T80LCaloId24b40eANDHE10P1R9Id50b80eLegCombLastFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEG33CaloIdLClusterShapeUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEG33EtUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEG33HEUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEG85EtUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEG85HEUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEle33CaloIdLGsfTrkIdVLDEtaUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEle33CaloIdLGsfTrkIdVLDPhiUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEle33CaloIdLNewPixelMatchUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiEle33CaloIdLPixelMatchUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMu9Ele9CaloIdLTrackIdLElectronlegClusterShapeFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMu9Ele9CaloIdLTrackIdLElectronlegDetaFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMu9Ele9CaloIdLTrackIdLElectronlegDphiFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMu9Ele9CaloIdLTrackIdLElectronlegEtFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMu9Ele9CaloIdLTrackIdLElectronlegHEFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMu9Ele9CaloIdLTrackIdLElectronlegL1MatchFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMu9Ele9CaloIdLTrackIdLElectronlegOneOEMinusOneOPFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMu9Ele9CaloIdLTrackIdLElectronlegPixelMatchFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMu9Ele9CaloIdLTrackIdLMuonlegL1Filtered0"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMu9Ele9CaloIdLTrackIdLMuonlegL2Filtered5"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMu9Ele9CaloIdLTrackIdLMuonlegL3Filtered9"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMuonGlb16Trk0DzFiltered0p2"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMuonGlb16Trk0DzFiltered0p2Phi"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMuonGlb17Glb8DzFiltered0p2"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMuonGlb17Glb8DzFiltered0p2SameSign"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMuonGlb17Glb8DzFiltered0p2SameSignDPhiCut"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMuonGlb17Glb8RelTrkIsoFiltered0p4"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMuonGlb17Glb8RelTrkIsoFiltered0p4DzFiltered0p2"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMuonGlb17Trk8DzFiltered0p2"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMuonGlb17Trk8RelTrkIsoFiltered0p4"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMuonGlb17Trk8RelTrkIsoFiltered0p4DzFiltered0p2"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMuonGlb25Trk0DzFiltered0p2"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMuonGlb27Trk8DzFiltered0p2"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMuonGlb30Trk11DzFiltered0p2"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMuonGlb40Trk11DzFiltered0p2"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMuonGlbFiltered16TrkFiltered0"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMuonGlbFiltered16TrkFiltered0Phi"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMuonGlbFiltered17TrkFiltered8"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMuonGlbFiltered25TrkFiltered0"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMuonGlbFiltered27TrkFiltered8"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMuonGlbFiltered30TrkFiltered11"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiMuonGlbFiltered40TrkFiltered11"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiPFJet40MJJ600DEta3p5"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiPFJet50"              ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiPFJet90"              ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiPFJetAve100ForHFJEC"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiPFJetAve160ForHFJEC"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiPFJetAve220ForHFJEC"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiPFJetAve300ForHFJEC"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiPFJetAve30ForHFJEC"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiPFJetAve60ForHFJEC"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDiPFJetAve80ForHFJEC"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDimuon0JpsiNoOSL3Filtered"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDimuon0JpsiOSL3Filtered"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDimuon0PhiBarrelL3Filtered"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDimuon10JpsiBarrelL3Filtered"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDimuon13PsiPrimeL3Filtered"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDimuon13UpsilonL3Filtered"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDimuon16JpsiL3Filtered"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDimuon20JpsiL3Filtered"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDimuon6JpsiL3Filtered"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDimuon8L1Filtered0"     ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDimuon8L2PreFiltered0"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDimuon8PsiPrimeBarrelL3Filtered"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDimuon8UpsilonBarrelL3Filtered"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDisplacedmumuFilterDimuon0PhiBarrel"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDisplacedmumuFilterDimuon10JpsiBarrel"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDisplacedmumuFilterDimuon13PsiPrime"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDisplacedmumuFilterDimuon13Upsilon"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDisplacedmumuFilterDimuon16Jpsi"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDisplacedmumuFilterDimuon20Jpsi"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDisplacedmumuFilterDimuon8PsiPrimeBarrel"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDisplacedmumuFilterDimuon8UpsilonBarrel"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDisplacedmumuFilterDoubleMu43Jpsi"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDisplacedmumuFilterDoubleMu4Bs"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDisplacedmumuFilterDoubleMu4Jpsi"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDisplacedmumuFilterDoubleMu4LowMassNonResonant"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDisplacedmumuFilterDoubleMu4PsiPrime"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleCSV0p5"           ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleCSVPF0p4"         ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleCentralCaloJetpt40"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleCentralCaloJetpt80"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleCentralJet90"     ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEGL1SingleEG40ORL1SingleEG35ORL1DoubleEG2210ORL1DoubleEG1510Eta2Filter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEGL1SingleEG40ORL1SingleEG35ORL1DoubleEG2210ORL1DoubleEG1510Filter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEGL1SingleEG40ORL1SingleEG35ORL1DoubleEG2210ORL1DoubleEG1510ORL1DoubleEG2010IsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEGL1SingleIsoEG30erORL1SingleEg40ORL1DoubleEG2210ORL1DoubleEG1510ORL1DoubleEG2010IsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEle8CaloIdLTrkIdVLDEtaFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEle8CaloIdLTrkIdVLDPhiFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEle8EgammaCandidatesWrapper"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEle8Mass8Filter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleEle8OneOEMinusOneOPFilterRegional"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleJet65"            ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleL2IsoTau35eta2p2"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleL2Tau35eta2p2"    ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleMu43JpsiDisplacedL3Filtered"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleMu4BsL3Filtered"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleMu4JpsiDisplacedL3Filtered"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleMu4LowMassNonResonantDisplacedL3Filtered"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleMu4PsiPrimeDisplacedL3Filtered"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoubleMu8Mass8L3Filtered"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoublePFCentralJetLooseID90"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoublePFTau40Reg"       ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoublePFTau40TrackPt1MediumIsolationDz02Reg"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoublePFTau40TrackPt1MediumIsolationL1HLTMatchedReg"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoublePFTau40TrackPt1MediumIsolationNoL1MatchDz02Reg"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoublePFTau40TrackPt1MediumIsolationReg"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltDoublePFTau40TrackPt1Reg"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG105CaloIdVTClusterShapeFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG105CaloIdVTHEFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG105EtFilter"          ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG120EtFilter"          ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG120HEFilter"          ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG120R9Id90HE10Iso40EBOnlyEcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG120R9Id90HE10Iso40EBOnlyEtFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG120R9Id90HE10Iso40EBOnlyHEFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG120R9Id90HE10Iso40EBOnlyHcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG120R9Id90HE10Iso40EBOnlyR9Filter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG120R9Id90HE10Iso40EBOnlyTrackIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG120R9Id90HE10IsoMEcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG120R9Id90HE10IsoMEtFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG120R9Id90HE10IsoMHEFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG120R9Id90HE10IsoMHcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG120R9Id90HE10IsoMR9Filter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG120R9Id90HE10IsoMTrackIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG135EtFilter"          ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG135HEFilter"          ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG14CaloId24b40eHE10P5R9Id50b80eClusterShapeUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG14Iso50T80LCaloId24b40eHE10P5R9Id50b80eEcalIsoUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG14Iso50T80LCaloId24b40eHE10P5R9Id50b80eHcalIsoUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG14Iso50T80LCaloId24b40eHE10P5R9Id50b80eTrackIsoUnseededLastFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG14R9Id85HE10P5R9Id50b80eR9UnseededLastFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG15EtFilter"           ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG165EtFilter"          ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG165HE10Filter"        ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG165R9Id90HE10IsoMEcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG165R9Id90HE10IsoMEtFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG165R9Id90HE10IsoMHEFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG165R9Id90HE10IsoMHcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG165R9Id90HE10IsoMR9Filter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG165R9Id90HE10IsoMTrackIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG16CaloId24b40eHE10R9Id65ClusterShapeUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG16Iso50T80LCaloId24b40eHE10R9Id65EcalIsoUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG16Iso50T80LCaloId24b40eHE10R9Id65HcalIsoUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG16Iso50T80LCaloId24b40eHE10R9Id65TrackIsoUnseededLastFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG16R9Id85HE10R9Id65R9IdUnseededLastFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG175EtFilter"          ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG175HEFilter"          ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG18CaloId24b40eHE10P0R9Id50b80eClusterShapeUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG18CaloId24b40eHE10P1R9Id50b80eClusterShapeUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG18CaloId24b40eHE10P5R9Id50b80eClusterShapeUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG18Iso50T80LCaloId24b40eHE10P0R9Id50b80eEcalIsoUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG18Iso50T80LCaloId24b40eHE10P0R9Id50b80eHcalIsoUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG18Iso50T80LCaloId24b40eHE10P0R9Id50b80eTrackIsoHollowUnseededLastFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG18Iso50T80LCaloId24b40eHE10P0R9Id50b80eTrackIsoSolidUnseededLastFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG18Iso50T80LCaloId24b40eHE10P0R9Id50b80eTrackIsoUnseededLastFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG18Iso50T80LCaloId24b40eHE10P1R9Id50b80eEcalIsoUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG18Iso50T80LCaloId24b40eHE10P1R9Id50b80eHcalIsoUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG18Iso50T80LCaloId24b40eHE10P1R9Id50b80eTrackIsoUnseededLastFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG18Iso50T80LCaloId24b40eHE10P5R9Id50b80eEcalIsoUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG18Iso50T80LCaloId24b40eHE10P5R9Id50b80eHcalIsoUnseededFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG18Iso50T80LCaloId24b40eHE10P5R9Id50b80eTrackIsoUnseededLastFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEG18R9Id85HE10P0R9Id50b80eR9UnseededLastFilter"   ""                "HLT"     
